ID,year,i.vars.label,ivars_class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem,new
291,1988,FS.homeless,1,NES,props.d,0.787325456,-0.6,0.36,-0.216,0,1,10
292,1990,FS.homeless,1,NES,props.d,0.727547931,-0.4,0.16,-0.064,0,1,10
293,1992,FS.homeless,1,NES,props.d,0.841380031,-0.2,0.04,-0.008,0,1,10
294,1996,FS.homeless,1,NES,props.d,0.720992799,0.2,0.04,0.008,0,1,10
295,1988,FS.homeless,1,NES,props.i,0.659388646,-0.6,0.36,-0.216,1,0,10
296,1990,FS.homeless,1,NES,props.i,0.709821429,-0.4,0.16,-0.064,1,0,10
297,1992,FS.homeless,1,NES,props.i,0.735739007,-0.2,0.04,-0.008,1,0,10
298,1996,FS.homeless,1,NES,props.i,0.59284378,0.2,0.04,0.008,1,0,10
299,1988,FS.homeless,1,NES,props.r,0.537688442,-0.6,0.36,-0.216,0,0,10
300,1990,FS.homeless,1,NES,props.r,0.549356223,-0.4,0.16,-0.064,0,0,10
